año,mes,month,fecha,viol_fam_ver,pob_mit_ver,tasa_ver,viol_fam_nac,pob_mit_nac,tasa_nac
2015,enero,A,2015-01-31,236,8241248,2.8636439529547,7721,121347800,6.36270290849937
2015,febrero,B,2015-02-28,206,8241248,2.49962141656215,8223,121347800,6.77638984802361
2015,marzo,C,2015-03-31,213,8241248,2.58456000838708,9705,121347800,7.99767280494578
2015,abril,D,2015-04-30,461,8241248,5.5938129758988,10452,121347800,8.61325874881951
2015,mayo,E,2015-05-31,438,8241248,5.31472903133118,11148,121347800,9.18681673668579
2015,junio,F,2015-06-30,307,8241248,3.72516395575039,11431,121347800,9.42003068864866
2015,julio,G,2015-07-31,148,8241248,1.7958445128699,11279,121347800,9.29477089819511
2015,agosto,H,2015-08-31,342,8241248,4.14985691487503,11907,121347800,9.8122916113848
2015,septiembre,I,2015-09-30,297,8241248,3.60382311028621,11873,121347800,9.7842729740465
2015,octubre,J,2015-10-31,380,8241248,4.61095212763892,12118,121347800,9.98617197839598
2015,noviembre,K,2015-11-30,305,8241248,3.70089578665756,11521,121347800,9.49419766983827
2015,diciembre,L,2015-12-31,239,8241248,2.90004620659395,10046,121347800,8.27868325589751
2016,enero,A,2016-01-31,328,8316599,3.94391986435801,9957,122715165,8.1139115935671
2016,febrero,B,2016-02-29,338,8316599,4.06416132363722,11835,122715165,9.64428479560778
2016,marzo,C,2016-03-31,397,8316599,4.77358593338455,12549,122715165,10.2261199746584
2016,abril,D,2016-04-30,474,8316599,5.69944516983445,14141,122715165,11.5234331469953
2016,mayo,E,2016-05-31,417,8316599,5.01406885194296,15277,122715165,12.4491541041403
2016,junio,F,2016-06-30,431,8316599,5.18240689493385,14725,122715165,11.9993319489079
2016,julio,G,2016-07-31,393,8316599,4.72548934967287,13115,122715165,10.6873506628134
2016,agosto,H,2016-08-31,473,8316599,5.68742102390653,13124,122715165,10.6946847196921
2016,septiembre,I,2016-09-30,392,8316599,4.71346520374494,13381,122715165,10.904112788342
2016,octubre,J,2016-10-31,381,8316599,4.58119959853782,12268,122715165,9.99713442099842
2016,noviembre,K,2016-11-30,386,8316599,4.64132032817742,11647,122715165,9.49108449636196
2016,diciembre,L,2016-12-31,361,8316599,4.3407166799794,11874,122715165,9.6760657087492
2017,enero,A,2017-01-31,506,8376971,6.04036948438762,11885,124041731,9.58145287411379
2017,febrero,B,2017-02-28,501,8376971,5.98068203888971,12217,124041731,9.84910473395441
2017,marzo,C,2017-03-31,593,8376971,7.0789310360511,14276,124041731,11.5090299731467
2017,abril,D,2017-04-30,577,8376971,6.88793121045781,13591,124041731,10.9567964671502
