cve_entidad,entidad,año,mes,cve_mes,fecha,viol_fam_911_acum,vio_fam_911_mensual,pob_tot_mit_año,tasa_pob_tot_vio_fam_911_mensual,pob_muj_mit_año,tasa_muj_vio_fam_911_mensual,tasa_muj_acum,tasa_pob_tot_acum
1,Aguascalientes,2019,enero,A,2019-01-31,1223,1223,1415421,86.41,718293,170.26,170.26,86.41
1,Aguascalientes,2019,febrero,B,2019-02-28,2398,1175,1415421,83.01,718293,163.58,333.85,169.42
1,Aguascalientes,2019,marzo,C,2019-03-31,3816,1418,1415421,100.18,718293,197.41,531.26,269.60
1,Aguascalientes,2019,abril,D,2019-04-30,5260,1444,1415421,102.02,718293,201.03,732.29,371.62
1,Aguascalientes,2019,mayo,E,2019-05-31,6840,1580,1415421,111.63,718293,219.97,952.26,483.25
1,Aguascalientes,2019,junio,F,2019-06-30,8307,1467,1415421,103.64,718293,204.23,1156.49,586.89
1,Aguascalientes,2019,julio,G,2019-07-31,9782,1475,1415421,104.21,718293,205.35,1361.84,691.10
1,Aguascalientes,2019,agosto,H,2019-08-31,11443,1661,1415421,117.35,718293,231.24,1593.08,808.45
1,Aguascalientes,2019,septiembre,I,2019-09-30,12925,1482,1415421,104.7,718293,206.32,1799.4,913.16
1,Aguascalientes,2019,octubre,J,2019-10-31,14360,1435,1415421,101.38,718293,199.78,1999.18,1014.54
1,Aguascalientes,2019,noviembre,K,2019-11-30,15662,1302,1415421,91.99,718293,181.26,2180.45,1106.53
1,Aguascalientes,2019,diciembre,L,2019-12-31,17153,1491,1415421,105.34,718293,207.58,2388.02,1211.87
2,Baja California,2019,enero,A,2019-01-31,2782,2782,3578561,77.74,1790402,155.38,155.38,77.74
2,Baja California,2019,febrero,B,2019-02-28,5222,2440,3578561,68.18,1790402,136.28,291.67,145.92
2,Baja California,2019,marzo,C,2019-03-31,8241,3019,3578561,84.36,1790402,168.62,460.29,230.29
2,Baja California,2019,abril,D,2019-04-30,11664,3423,3578561,95.65,1790402,191.19,651.47,325.94
2,Baja California,2019,mayo,E,2019-05-31,14873,3209,3578561,89.67,1790402,179.23,830.71,415.61
2,Baja California,2019,junio,F,2019-06-30,18401,3528,3578561,98.59,1790402,197.05,1027.76,514.20
2,Baja California,2019,julio,G,2019-07-31,22001,3600,3578561,100.6,1790402,201.07,1228.83,614.80
2,Baja California,2019,agosto,H,2019-08-31,25551,3550,3578561,99.2,1790402,198.28,1427.11,714.00
2,Baja California,2019,septiembre,I,2019-09-30,29019,3468,3578561,96.91,1790402,193.7,1620.81,810.91
2,Baja California,2019,octubre,J,2019-10-31,32206,3187,3578561,89.06,1790402,178,1798.81,899.97
2,Baja California,2019,noviembre,K,2019-11-30,35148,2942,3578561,82.21,1790402,164.32,1963.13,982.18
