entidad,año,mes,cve_mes,paciente_hombre,paciente_mujer,pob_muj_mit_año,tasa_muj_viol_fam,paciente_sexo_no_esp,total_general
AGUASCALIENTES,2019,Enero,A,2,17,718293,2.37,0,19
AGUASCALIENTES,2019,Febrero,B,3,70,718293,9.75,0,73
AGUASCALIENTES,2019,Marzo,C,5,93,718293,12.95,0,98
AGUASCALIENTES,2019,Abril,D,9,82,718293,11.42,0,91
AGUASCALIENTES,2019,Mayo,E,11,80,718293,11.14,0,91
AGUASCALIENTES,2019,Junio,F,7,65,718293,9.05,0,72
AGUASCALIENTES,2019,Julio,G,5,54,718293,7.52,0,59
AGUASCALIENTES,2019,Agosto,H,3,22,718293,3.06,0,25
AGUASCALIENTES,2019,Septiembre,I,10,36,718293,5.01,0,46
AGUASCALIENTES,2019,Octubre,J,4,32,718293,4.46,0,36
AGUASCALIENTES,2019,Noviembre,K,5,19,718293,2.65,0,24
AGUASCALIENTES,2019,Diciembre,L,0,1,718293,0.14,0,1
BAJA CALIFORNIA,2019,Enero,A,3,26,1790402,1.45,0,29
BAJA CALIFORNIA,2019,Febrero,B,3,31,1790402,1.73,0,34
BAJA CALIFORNIA,2019,Marzo,C,5,119,1790402,6.65,0,124
BAJA CALIFORNIA,2019,Abril,D,9,198,1790402,11.06,0,207
BAJA CALIFORNIA,2019,Mayo,E,2,272,1790402,15.19,0,274
BAJA CALIFORNIA,2019,Junio,F,1,212,1790402,11.84,0,213
BAJA CALIFORNIA,2019,Julio,G,2,258,1790402,14.41,0,260
BAJA CALIFORNIA,2019,Agosto,H,2,243,1790402,13.57,1,246
BAJA CALIFORNIA,2019,Septiembre,I,1,167,1790402,9.33,0,168
BAJA CALIFORNIA,2019,Octubre,J,1,199,1790402,11.11,0,200
BAJA CALIFORNIA,2019,Noviembre,K,2,133,1790402,7.43,0,135
BAJA CALIFORNIA,2019,Diciembre,L,7,76,1790402,4.24,0,83
BAJA CALIFORNIA SUR,2019,Enero,A,0,8,387379,2.07,0,8
BAJA CALIFORNIA SUR,2019,Febrero,B,3,4,387379,1.03,0,7
BAJA CALIFORNIA SUR,2019,Marzo,C,3,16,387379,4.13,0,19
BAJA CALIFORNIA SUR,2019,Abril,D,3,15,387379,3.87,0,18
BAJA CALIFORNIA SUR,2019,Mayo,E,4,13,387379,3.36,0,17
BAJA CALIFORNIA SUR,2019,Junio,F,3,30,387379,7.74,0,33
BAJA CALIFORNIA SUR,2019,Julio,G,7,22,387379,5.68,0,29
BAJA CALIFORNIA SUR,2019,Agosto,H,4,21,387379,5.42,0,25
BAJA CALIFORNIA SUR,2019,Septiembre,I,4,23,387379,5.94,0,27
BAJA CALIFORNIA SUR,2019,Octubre,J,1,17,387379,4.39,0,18
BAJA CALIFORNIA SUR,2019,Noviembre,K,2,24,387379,6.20,0,26
BAJA CALIFORNIA SUR,2019,Diciembre,L,0,7,387379,1.81,0,7
CAMPECHE,2019,Enero,A,6,19,497710,3.82,0,25
CAMPECHE,2019,Febrero,B,6,41,497710,8.24,0,47
CAMPECHE,2019,Marzo,C,4,23,497710,4.62,0,27
CAMPECHE,2019,Abril,D,7,20,497710,4.02,0,27
CAMPECHE,2019,Mayo,E,8,23,497710,4.62,0,31
CAMPECHE,2019,Junio,F,1,19,497710,3.82,0,20
CAMPECHE,2019,Julio,G,3,20,497710,4.02,0,23
CAMPECHE,2019,Agosto,H,5,28,497710,5.63,0,33
CAMPECHE,2019,Septiembre,I,3,51,497710,10.25,0,54
CAMPECHE,2019,Octubre,J,2,65,497710,13.06,0,67
CAMPECHE,2019,Noviembre,K,1,33,497710,6.63,0,34
CAMPECHE,2019,Diciembre,L,0,15,497710,3.01,0,15
COAHUILA,2019,Enero,A,2,23,1591349,1.45,0,25
COAHUILA,2019,Febrero,B,2,71,1591349,4.46,0,73
COAHUILA,2019,Marzo,C,8,61,1591349,3.83,0,69
COAHUILA,2019,Abril,D,1,97,1591349,6.10,0,98
COAHUILA,2019,Mayo,E,6,95,1591349,5.97,0,101
COAHUILA,2019,Junio,F,8,105,1591349,6.60,0,113
COAHUILA,2019,Julio,G,12,78,1591349,4.90,0,90
COAHUILA,2019,Agosto,H,5,74,1591349,4.65,0,79
COAHUILA,2019,Septiembre,I,6,47,1591349,2.95,0,53
COAHUILA,2019,Octubre,J,2,30,1591349,1.89,0,32
COAHUILA,2019,Noviembre,K,3,29,1591349,1.82,0,32
COAHUILA,2019,Diciembre,L,2,9,1591349,0.57,0,11
COLIMA,2019,Enero,A,1,19,388317,4.89,0,20
COLIMA,2019,Febrero,B,6,100,388317,25.75,0,106
COLIMA,2019,Marzo,C,6,91,388317,23.43,0,97
COLIMA,2019,Abril,D,0,54,388317,13.91,0,54
COLIMA,2019,Mayo,E,3,70,388317,18.03,0,73
COLIMA,2019,Junio,F,3,57,388317,14.68,0,60
COLIMA,2019,Julio,G,4,35,388317,9.01,0,39
COLIMA,2019,Agosto,H,4,37,388317,9.53,0,41
COLIMA,2019,Septiembre,I,0,5,388317,1.29,0,5
COLIMA,2019,Octubre,J,1,29,388317,7.47,0,30
COLIMA,2019,Noviembre,K,3,16,388317,4.12,0,19
COLIMA,2019,Diciembre,L,0,16,388317,4.12,0,16
CHIAPAS,2019,Enero,A,4,21,2883413,0.73,0,25
CHIAPAS,2019,Febrero,B,5,25,2883413,0.87,0,30
CHIAPAS,2019,Marzo,C,9,29,2883413,1.01,0,38
CHIAPAS,2019,Abril,D,7,33,2883413,1.14,0,40
CHIAPAS,2019,Mayo,E,5,44,2883413,1.53,0,49
CHIAPAS,2019,Junio,F,10,34,2883413,1.18,0,44
CHIAPAS,2019,Julio,G,3,43,2883413,1.49,0,46
CHIAPAS,2019,Agosto,H,3,27,2883413,0.94,0,30
CHIAPAS,2019,Septiembre,I,2,43,2883413,1.49,0,45
CHIAPAS,2019,Octubre,J,8,45,2883413,1.56,0,53
CHIAPAS,2019,Noviembre,K,4,29,2883413,1.01,0,33
CHIAPAS,2019,Diciembre,L,5,33,2883413,1.14,0,38
CHIHUAHUA,2019,Enero,A,10,182,1898283,9.59,0,192
CHIHUAHUA,2019,Febrero,B,20,338,1898283,17.81,0,358
CHIHUAHUA,2019,Marzo,C,18,408,1898283,21.49,0,426
CHIHUAHUA,2019,Abril,D,16,369,1898283,19.44,0,385
CHIHUAHUA,2019,Mayo,E,17,355,1898283,18.70,0,372
CHIHUAHUA,2019,Junio,F,22,367,1898283,19.33,0,389
CHIHUAHUA,2019,Julio,G,20,395,1898283,20.81,0,415
